,Loan Purpose,Checking ,Savings,Months Customer,Months Employed,Gender,Marital Status,Age,Housing,Years,Job,Credit Risk
362,New Car,$0,$272,7,90,M,Single,67,Own,4,Management,High
363,Business,$929,$124,9,1,M,Married,25,Own,2,Skilled,Low
364,Small Appliance,$0,"$17,124",13,95,M,Married,34,Own,1,Skilled,Low
365,Used Car,$0,$612,49,32,M,Single,38,Other,4,Skilled,High
366,New Car,$0,$862,49,62,M,Single,41,Other,4,Management,High
367,Furniture,$0,$146,25,46,M,Single,26,Own,4,Skilled,High
368,New Car,$0,"$14,190",37,92,M,Single,35,Own,4,Skilled,Low
369,Used Car,$0,$396,49,73,M,Single,45,Other,4,Skilled,High
370,Small Appliance,$0,$519,31,23,F,Divorced,32,Own,2,Skilled,Low
371,Used Car,$646,$0,25,9,M,Divorced,47,Other,4,Skilled,Low
372,New Car,$538,$344,13,40,M,Married,24,Own,3,Unskilled,High
373,Furniture,$0,$204,31,5,M,Divorced,30,Own,4,Unskilled,High
374,Small Appliance,$0,$148,43,2,M,Single,33,Own,3,Skilled,High
375,Furniture,$0,$435,19,16,F,Divorced,23,Rent,4,Skilled,High
376,Small Appliance,$0,$914,19,0,F,Divorced,21,Rent,4,Skilled,High
377,New Car,$135,$0,37,7,M,Single,36,Other,4,Skilled,High
378,Used Car,"$2,472",$0,37,41,M,Single,30,Own,2,Management,Low
379,New Car,$0,$412,25,22,M,Single,52,Other,4,Skilled,High
380,New Car,"$10,417","$19,811",13,27,M,Married,27,Own,2,Skilled,High
381,Small Appliance,$211,$822,8,5,F,Divorced,44,Own,1,Skilled,Low
382,Small Appliance,"$16,630",$0,11,47,M,Single,26,Own,2,Skilled,Low
383,Furniture,$0,"$3,369",25,17,M,Single,24,Own,1,Skilled,Low
384,Furniture,$642,$0,13,65,F,Divorced,24,Own,2,Skilled,High
385,Small Appliance,$0,$707,7,26,M,Single,50,Own,2,Skilled,Low
386,Small Appliance,$296,$818,19,93,M,Married,31,Own,2,Unskilled,Low
387,Business,$898,$177,22,105,F,Divorced,38,Own,4,Skilled,High
388,New Car,$478,"$4,071",10,40,M,Single,28,Own,3,Skilled,High
389,New Car,$315,$466,13,3,M,Single,48,Own,3,Unskilled,Low
390,New Car,$122,$460,37,109,M,Single,56,Other,2,Management,High
391,Furniture,$0,$991,7,3,F,Divorced,31,Own,4,Skilled,High
392,Small Appliance,$0,"$17,653",22,4,F,Divorced,28,Own,2,Skilled,Low
393,Education,$0,$497,41,24,M,Single,26,Own,3,Skilled,High
394,Business,$670,"$4,014",31,21,F,Divorced,25,Rent,4,Unskilled,High
395,Business,$444,$921,28,51,F,Divorced,41,Other,4,Management,High
396,New Car,"$3,880",$0,23,37,F,Divorced,24,Rent,4,Skilled,Low
397,Used Car,$819,$0,13,23,M,Single,29,Own,2,Skilled,Low
398,Used Car,$0,$607,37,17,M,Single,25,Own,2,Skilled,High
399,Large Appliance,$0,"$15,800",16,40,M,Single,35,Own,3,Skilled,Low
400,Furniture,$0,$369,7,23,M,Single,35,Own,2,Unskilled,Low
401,Business,$0,"$4,973",25,17,M,Single,26,Own,3,Unskilled,Low
402,Furniture,$0,$0,40,30,M,Single,29,Own,4,Management,Low
403,New Car,$0,$761,25,92,M,Single,59,Own,4,Unskilled,High
404,Education,$0,$471,7,52,F,Divorced,34,Other,4,Skilled,High
405,Used Car,$0,$674,37,69,M,Single,41,Other,4,Skilled,Low
406,New Car,$0,$547,13,40,M,Divorced,35,Own,3,Skilled,High
407,Furniture,$161,$524,13,106,M,Single,27,Rent,4,Skilled,Low
408,Furniture,$0,$815,19,13,M,Single,41,Own,3,Skilled,High
409,Used Car,$0,$0,11,4,F,Divorced,30,Rent,4,Skilled,Low
410,New Car,$789,$989,31,0,M,Married,27,Own,2,Management,High
411,Small Appliance,$765,"$10,406",10,24,F,Divorced,65,Own,3,Unskilled,Low
412,Furniture,$0,$957,19,11,F,Divorced,19,Rent,4,Skilled,High
413,New Car,$0,$770,37,3,F,Divorced,33,Own,4,Skilled,High
414,Furniture,$983,$950,13,5,F,Divorced,24,Rent,3,Skilled,High
415,Used Car,$0,$160,13,7,M,Married,40,Rent,4,Skilled,Low
416,Used Car,$0,$276,25,91,M,Single,62,Own,4,Skilled,Low
417,Education,$798,$137,25,25,F,Divorced,33,Other,4,Unskilled,High
418,New Car,$0,$579,22,70,M,Married,29,Own,3,Skilled,Low
419,New Car,$193,"$2,684",13,5,F,Divorced,22,Own,2,Unskilled,High
420,Small Appliance,$497,$0,7,51,M,Single,35,Other,4,Skilled,Low
421,Furniture,$0,$0,31,53,M,Single,30,Own,4,Skilled,High
422,New Car,$0,$0,25,103,F,Divorced,28,Own,2,Skilled,High
423,New Car,$0,$712,16,6,F,Divorced,28,Own,2,Skilled,High
424,New Car,$0,$912,7,39,M,Single,44,Own,3,Management,Low
